,,,,,,,,
src_id,Name,Area,Area type,Station start date,Station end date,Latitude,Longitude,Postcode
13,BALTASOUND ,SHETLAND ,SCOTTISH REGION ,1904-01-01 ,1995-10-16 ,60.7592,-0.88599,ZE2 9 
12,BALTASOUND NO 2 ,SHETLAND ,SCOTTISH REGION ,1983-01-01 ,Current ,60.7489,-0.85365,ZE2 9 
28,BERRIEDALE: LANGWELL ,CAITHNESS ,COUNTY ,1896-01-01 ,1986-12-31 ,58.1807,-3.52885,KW7 6 
7,COLLAFIRTH ,SHETLAND ,SCOTTISH REGION ,1971-01-01 ,1991-01-31 ,60.5334,-1.38948,ZE2 9 
22,COSTA ,ORKNEY ,SCOTTISH REGION ,1960-01-01 ,1964-12-31 ,59.1315,-3.14634,KW17 2 
26,DOUNREAY ,CAITHNESS ,COUNTY ,1958-01-01 ,1984-01-31 ,58.5796,-3.73715,KW14 7 
21,EVIE ,ORKNEY ,SCOTTISH REGION ,1965-01-01 ,1967-12-31 ,59.105,-3.08608,KW17 2 
3,FAIR ISLE ,SHETLAND ,SCOTTISH REGION ,1974-01-01 ,Current ,59.5265,-1.62777,ZE2 9 
1,FOULA ,SHETLAND ,SCOTTISH REGION ,1984-01-01 ,2003-11-30 ,60.1549,-2.07206,ZE2 9 
29,HALKIRK : OLGRINBERG ,CAITHNESS ,COUNTY ,1954-01-01 ,1962-12-31 ,58.4534,-3.55781,KW12 6 
5,HAMNAVOE ,SHETLAND ,SCOTTISH REGION ,1961-01-01 ,1972-12-31 ,60.1048,-1.33088,ZE2 9 
23,KIRKWALL ,ORKNEY ,SCOTTISH REGION ,1950-01-01 ,Current ,58.9539,-2.89988,KW17 2 
9,LERWICK ,SHETLAND ,SCOTTISH REGION ,1922-01-01 ,Current ,60.1395,-1.18299,ZE1 0 
31,LYBSTER ,CAITHNESS ,COUNTY ,1993-01-01 ,2003-12-03 ,58.311,-3.28354,KW3 6 
25,NORTH RONALDSAY: GERBO ,ORKNEY ,SCOTTISH REGION ,1984-01-01 ,2009-12-01 ,59.3613,-2.41312,KW17 2 
25315,ORKNEY: LOCH OF HUNDLAND ,ORKNEY ,SCOTTISH REGION ,1999-11-01 ,Current ,59.1126,-3.22773,KW17 
19,RACKWICK ,ORKNEY ,SCOTTISH REGION ,1984-01-01 ,Current ,58.8737,-3.38515,KW17 2 
6,SCATSTA ,SHETLAND ,SCOTTISH REGION ,1974-01-01 ,1979-12-31 ,60.4396,-1.30583,ZE2 9 
10,SELLA NESS ,SHETLAND ,SCOTTISH REGION ,1979-01-01 ,2019-06-01 ,60.4479,-1.27581,ZE2 9 
20,STENNESS ,ORKNEY ,SCOTTISH REGION ,1941-01-01 ,1975-12-31 ,58.9826,-3.22143,KW16 3 
17,SULE SKERRY ,ORKNEY ,SCOTTISH REGION ,1952-01-01 ,2019-03-26 ,59.0828,-4.40311,KW14 
24,WEYLAND ,ORKNEY ,SCOTTISH REGION ,1975-01-01 ,1979-12-31 ,58.9867,-2.94662,KW17 
32,WICK AIRPORT ,CAITHNESS ,COUNTY ,1873-01-01 ,Current ,58.4541,-3.0884,KW1 4 
